구분1,구분2,2014.10월,2014.11월,2014.12월,2015.1월,2015.2월,2015.3월,2015.4월,2015.5월,2015.6월,2015.7월,2015.8월,2015.9월,2015.10월,2015.11월,2015.12월
신규가입,SKT,213291,275174,273375,297506,292499,316034,216516,211929,211746,187670,172555,158177,153371,153739,152935
신규가입,KT,131128,135513,177140,193376,156694,160731,139948,131975,131192,129483,121691,127931,136323,117504,127863
신규가입,LGU+,84674,87327,99370,108936,98552,124404,103090,95692,98983,93198,95211,101620,101896,98332,146627
신규가입,MVNO,180732,207597,138512,171153,117882,144705,131856,150582,170224,153685,147312,167088,186870,193546,173630
신규가입,소계,609825,705611,688397,770971,665627,745874,591410,590178,612145,564036,536769,554816,578460,563121,601055
번호이동,SKT,111677,173402,218677,269455,191726,200946,133670,179102,172086,181144,190905,189731,171557,205125,185490
번호이동,KT,92601,142938,184320,213399,163725,167389,121068,152350,143429,155315,153022,147031,181605,169131,149127
번호이동,LGU+,85571,144610,177587,172378,147659,146868,113795,135106,128012,134234,145769,140891,167769,149879,136485
번호이동,MVNO,84979,89158,106552,101422,76768,102120,86140,76685,82057,92249,83857,77315,78940,78688,91260
번호이동,소계,374828,550108,687136,756654,579878,617323,454673,543243,525584,562942,573553,554968,599871,602823,562362
기기변경,SKT,249332,365072,373992,430966,290109,245580,464977,461477,431101,486521,518625,458588,598784,487210,407837
기기변경,KT,100411,213139,210012,231082,175730,172117,235843,246814,240356,248876,255733,211657,307268,248456,204891
기기변경,LGU+,83929,131929,161254,161306,128051,131246,160572,186597,164012,181042,189642,166523,207365,176718,164860
기기변경,MVNO,3677,3382,4435,3844,3149,4413,5567,4353,4387,4468,4216,5201,2683,2268,1990
기기변경,소계,437349,713522,749693,827198,597039,553356,866959,899241,839856,920907,968216,841969,1116100,914652,779578
합 계,SKT,574300,813648,866044,997927,774334,762560,815163,852508,814933,855335,882085,806496,923712,846074,746262
합 계,KT,324140,491590,571472,637857,496149,500237,496859,531139,514977,533674,530446,486619,625196,535091,481881
합 계,LGU+,254174,363866,438211,442620,374262,402518,377457,417395,391007,408474,430622,409034,477030,424929,447972
합 계,MVNO,269388,300137,249499,276419,197799,251238,223563,231620,256668,250402,235385,249604,268493,274502,266880
합 계,합계,1422002,1969241,2125226,2354823,1842544,1916553,1913042,2032662,1977585,2047885,2078538,1951753,2294431,2080596,1942995
